"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1
"2",1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"4",1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0
"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"9",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"10",1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1
"11",1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
"12",0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
"13",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
"14",1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1
"15",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
"18",0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1
"19",1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1
"20",1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"21",0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"23",1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0
"24",0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1
"25",1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
"26",1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
"27",1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0
"28",1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0
"29",1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1
"30",0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"31",0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
"32",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"33",1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0
"34",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"35",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"36",1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0
"37",1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1
"38",1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0
"39",1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0
"40",1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0
"41",0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
"42",1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1
