"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
"2",1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0
"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"4",1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"5",1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0
"6",0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
"7",0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1
"8",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1
"9",1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1
"10",1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0
"11",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"12",1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0
"13",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1
"16",0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
"17",1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0
"18",1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1
"19",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0
"20",1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
"21",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
"22",1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
"23",0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1
"26",1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1
"27",1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0
"28",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"29",0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0
"30",1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0
"31",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1
"32",1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1
"33",1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1
"34",1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"36",1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
"37",1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
"38",0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"39",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
